Dimensao,UF,Categoria,Frequencia_Absoluta,Proporcao_Percentual
Causa_Morte,BAHIA,"Transtornos dos nervos, das raízes e dos plexos nervosos",2,0.0
Causa_Morte,BAHIA,Transtornos dos tecidos moles,133,0.14
Causa_Morte,BAHIA,Transtornos endócrinos e metabólicos transitórios específicos do feto e do recém-nascido,57,0.06
Causa_Morte,BAHIA,Transtornos episódicos e paroxísticos,325,0.33
Causa_Morte,BAHIA,Transtornos hemorrágicos e hematológicos do feto e do recém-nascido,47,0.05
Causa_Morte,BAHIA,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,963,0.98
Causa_Morte,BAHIA,"Transtornos mentais orgânicos, inclusive os sintomáticos",122,0.12
Causa_Morte,BAHIA,"Transtornos neuróticos, transtornos relacionados com o ""stress"" e transtornos somatoformes",6,0.01
Causa_Morte,BAHIA,Transtornos não-inflamatórios do trato genital feminino,18,0.02
Causa_Morte,BAHIA,Transtornos relacionados com a duração da gestação e com o crescimento fetal,267,0.27
Causa_Morte,BAHIA,Transtornos respiratórios e cardiovasculares específicos do período perinatal,982,1.0
Causa_Morte,BAHIA,Traumatismo de parto,6,0.01
Causa_Morte,BAHIA,Tuberculose,375,0.38
Causa_Morte,BAHIA,Urticária e eritema,10,0.01
Causa_Morte,SANTA CATARINA,"Achados anormais de exames para diagnóstico por imagem e em estudos de função, sem diagnóstico",1,0.0
Causa_Morte,SANTA CATARINA,Acidentes,2728,5.84
Causa_Morte,SANTA CATARINA,Afecções bolhosas,8,0.02
Causa_Morte,SANTA CATARINA,Afecções comprometendo o tegumento e a regulação térmica do feto e do recém-nascido,16,0.03
Causa_Morte,SANTA CATARINA,Afecções necróticas e supurativas das vias aéreas inferiores,20,0.04
Causa_Morte,SANTA CATARINA,Agressões,591,1.26
Causa_Morte,SANTA CATARINA,Algumas doenças bacterianas zoonóticas,16,0.03
Causa_Morte,SANTA CATARINA,Alguns transtornos que comprometem o mecanismo imunitário,12,0.03
Causa_Morte,SANTA CATARINA,Anemias aplásticas e outras anemias,36,0.08
Causa_Morte,SANTA CATARINA,Anemias hemolíticas,15,0.03
Causa_Morte,SANTA CATARINA,Anemias nutricionais,11,0.02
Causa_Morte,SANTA CATARINA,Anomalias cromossômicas não classificadas em outra parte,72,0.15
Causa_Morte,SANTA CATARINA,Artropatias,52,0.11
Causa_Morte,SANTA CATARINA,Assistência prestada à mãe por motivos ligados ao feto e à cavidade amniótica e por possíveis problemas relativos ao parto,4,0.01
Causa_Morte,SANTA CATARINA,Atrofias sistêmicas que afetam principalmente o sistema nervoso central,127,0.27
Causa_Morte,SANTA CATARINA,Calculose renal,22,0.05
Causa_Morte,SANTA CATARINA,Causas mal definidas e desconhecidas de mortalidade,1008,2.16
Causa_Morte,SANTA CATARINA,Complicações de assistência médica e cirúrgica,56,0.12
Causa_Morte,SANTA CATARINA,Complicações do trabalho de parto e do parto,3,0.01
Causa_Morte,SANTA CATARINA,Complicações relacionadas predominantemente com o puerpério,1,0.0
Causa_Morte,SANTA CATARINA,"Defeitos da coagulação, púrpura e outras afecções hemorrágicas",54,0.12
Causa_Morte,SANTA CATARINA,Dermatite e eczema,2,0.0
Causa_Morte,SANTA CATARINA,Desnutrição,53,0.11
Causa_Morte,SANTA CATARINA,Diabetes mellitus,2297,4.91
Causa_Morte,SANTA CATARINA,Distúrbios metabólicos,243,0.52
Causa_Morte,SANTA CATARINA,Doença pelo vírus da imunodeficiência humana [HIV],373,0.8
Causa_Morte,SANTA CATARINA,Doenças cardíaca pulmonar e da circulação pulmonar,423,0.9
Causa_Morte,SANTA CATARINA,Doenças cerebrovasculares,3151,6.74
Causa_Morte,SANTA CATARINA,Doenças crônicas das vias aéreas inferiores,2193,4.69
Causa_Morte,SANTA CATARINA,"Doenças da cavidade oral, das glândulas salivares e dos maxilares",3,0.01
Causa_Morte,SANTA CATARINA,Doenças da junção mioneural e dos músculos,22,0.05
Causa_Morte,SANTA CATARINA,Doenças da mama,2,0.0
Causa_Morte,SANTA CATARINA,"Doenças das artérias, das arteríolas e dos capilares",603,1.29
Causa_Morte,SANTA CATARINA,"Doenças das veias, dos vasos linfáticos e dos gânglios linfáticos, não classificadas em outra parte",112,0.24
Causa_Morte,SANTA CATARINA,Doenças desmielinizantes do sistema nervoso central,27,0.06
Causa_Morte,SANTA CATARINA,Doenças devidas a protozoários,4,0.01
Causa_Morte,SANTA CATARINA,Doenças do apêndice,30,0.06
Causa_Morte,SANTA CATARINA,"Doenças do esôfago, do estômago e do duodeno",201,0.43
Causa_Morte,SANTA CATARINA,Doenças do fígado,717,1.53
Causa_Morte,SANTA CATARINA,Doenças do ouvido médio e da mastóide,8,0.02
Causa_Morte,SANTA CATARINA,Doenças do peritônio,51,0.11
Causa_Morte,SANTA CATARINA,Doenças dos órgãos genitais masculinos,60,0.13
Causa_Morte,SANTA CATARINA,Doenças extrapiramidais e transtornos dos movimentos,275,0.59
Causa_Morte,SANTA CATARINA,Doenças glomerulares,25,0.05
Causa_Morte,SANTA CATARINA,Doenças hipertensivas,1948,4.17
Causa_Morte,SANTA CATARINA,Doenças infecciosas intestinais,151,0.32
Causa_Morte,SANTA CATARINA,Doenças inflamatórias do sistema nervoso central,71,0.15
Causa_Morte,SANTA CATARINA,Doenças inflamatórias dos órgãos pélvicos femininos,7,0.01
Causa_Morte,SANTA CATARINA,Doenças isquêmicas do coração,3612,7.73
Causa_Morte,SANTA CATARINA,Doenças pulmonares devidas a agentes externos,242,0.52
Causa_Morte,SANTA CATARINA,Doenças renais túbulo-intersticiais,61,0.13
Causa_Morte,SANTA CATARINA,Doenças reumáticas crônicas do coração,85,0.18
Causa_Morte,SANTA CATARINA,Doenças sistêmicas do tecido conjuntivo,49,0.1
Causa_Morte,SANTA CATARINA,Dorsopatias,20,0.04
Causa_Morte,SANTA CATARINA,"Edema, proteinúria e transtornos hipertensivos na gravidez, no parto e no puerpério",4,0.01
Causa_Morte,SANTA CATARINA,Enterites e colites não-infecciosas,37,0.08
Causa_Morte,SANTA CATARINA,"Esquizofrenia, transtornos esquizotípicos e transtornos delirantes",27,0.06
Causa_Morte,SANTA CATARINA,Eventos (fatos) cuja intenção é indeterminada,223,0.48
Causa_Morte,SANTA CATARINA,Febre reumática aguda,3,0.01
Causa_Morte,SANTA CATARINA,Febres por arbovírus e febres hemorrágicas virais,78,0.17
Causa_Morte,SANTA CATARINA,"Feto e recém-nascido afetados por fatores maternos e por complicações da gravidez, do trabalho de parto e do parto",441,0.94
Causa_Morte,SANTA CATARINA,Gravidez que termina em aborto,1,0.0
Causa_Morte,SANTA CATARINA,Helmintíases,3,0.01
Causa_Morte,SANTA CATARINA,Hepatite viral,42,0.09
