UF_Ocorrencia,Grupo_Causa,Quantidade
SANTA CATARINA,Atrofias sistêmicas que afetam principalmente o sistema nervoso central,127
SANTA CATARINA,Tuberculose,118
SANTA CATARINA,Neoplasias [tumores] de comportamento incerto ou desconhecido,115
SANTA CATARINA,"Doenças das veias, dos vasos linfáticos e dos gânglios linfáticos, não classificadas em outra parte",112
SANTA CATARINA,Infecções da pele e do tecido subcutâneo,101
SANTA CATARINA,Outros transtornos do sistema nervoso,101
SANTA CATARINA,Outras afecções da pele e do tecido subcutâneo,94
SANTA CATARINA,"Transtornos mentais orgânicos, inclusive os sintomáticos",93
SANTA CATARINA,Hérnias,92
SANTA CATARINA,Doenças reumáticas crônicas do coração,85
SANTA CATARINA,Infecções específicas do período perinatal,80
SANTA CATARINA,Febres por arbovírus e febres hemorrágicas virais,78
SANTA CATARINA,Transtornos relacionados com a duração da gestação e com o crescimento fetal,76
SANTA CATARINA,Anomalias cromossômicas não classificadas em outra parte,72
SANTA CATARINA,Doenças inflamatórias do sistema nervoso central,71
SANTA CATARINA,Paralisia cerebral e outras síndromes paralíticas,63
SANTA CATARINA,Doenças renais túbulo-intersticiais,61
SANTA CATARINA,Doenças dos órgãos genitais masculinos,60
SANTA CATARINA,Complicações de assistência médica e cirúrgica,56
SANTA CATARINA,"Defeitos da coagulação, púrpura e outras afecções hemorrágicas",54
SANTA CATARINA,Outras malformações congênitas,54
SANTA CATARINA,Desnutrição,53
SANTA CATARINA,Outras infecções agudas das vias aéreas inferiores,53
SANTA CATARINA,Artropatias,52
SANTA CATARINA,Transtornos da glândula tireóide,52
SANTA CATARINA,Doenças do peritônio,51
SANTA CATARINA,Malformações congênitas do sistema nervoso,50
SANTA CATARINA,Doenças sistêmicas do tecido conjuntivo,49
SANTA CATARINA,Hepatite viral,42
SANTA CATARINA,Intervenções legais e operações de guerra,38
SANTA CATARINA,Enterites e colites não-infecciosas,37
SANTA CATARINA,Anemias aplásticas e outras anemias,36
SANTA CATARINA,Osteopatias e condropatias,35
SANTA CATARINA,Outras doenças da pleura,35
SANTA CATARINA,Doenças do apêndice,30
SANTA CATARINA,Transtornos do humor [afetivos],30
SANTA CATARINA,Malformações e deformidades congênitas do sistema osteomuscular,29
